"run","stored"
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,434.0
1,430.0
1,430.0
1,425.0
1,425.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,421.0
1,940.0
1,939.0
1,939.0
1,938.0
1,938.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,937.0
1,1292.0
1,1292.0
1,1290.0
1,1287.0
1,1285.0
1,1284.0
1,1283.0
1,1283.0
1,1283.0
1,1283.0
1,1279.0
1,1660.0
1,1656.0
1,1656.0
1,1654.0
1,1654.0
1,1653.0
1,1653.0
1,1653.0
1,1650.0
1,1650.0
1,1650.0
1,1650.0
1,1650.0
1,1650.0
1,1650.0
1,1650.0
1,1650.0
1,1650.0
1,1648.0
1,1647.0
1,1646.0
1,1646.0
1,1646.0
1,1646.0
1,1646.0
1,1646.0
1,1646.0
1,1646.0
1,1646.0
1,1646.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1846.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,1875.0
1,2237.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2236.0
1,2103.0
1,2746.0
1,2746.0
1,2745.0
1,2745.0
1,2745.0
1,2745.0
1,3542.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3537.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3465.0
1,3607.0
1,3607.0
1,3607.0
1,3606.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3605.0
1,3444.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3675.0
1,3637.0
1,4410.0
1,4410.0
1,4410.0
1,4409.0
1,4409.0
1,4409.0
1,4409.0
1,4409.0
1,5092.0
1,5031.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
1,5030.0
3,506.0
3,503.0
3,503.0
3,503.0
3,503.0
3,503.0
3,497.0
3,495.0
3,1469.0
3,1465.0
3,2346.0
3,2344.0
3,2343.0
3,2343.0
3,2343.0
3,2343.0
3,2343.0
3,2343.0
3,3041.0
3,3038.0
3,3038.0
3,3038.0
3,3038.0
3,3038.0
3,3006.0
3,3727.0
3,3724.0
3,3724.0
3,3724.0
3,3724.0
3,3716.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4286.0
3,4278.0
3,4677.0
3,4739.0
3,4739.0
3,4739.0
3,4739.0
3,4739.0
3,4739.0
3,4739.0
3,4739.0
3,4739.0
3,4739.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5020.0
3,5010.0
3,5965.0
3,5945.0
3,5945.0
3,5945.0
3,5945.0
3,5945.0
3,5945.0
3,5945.0
3,5945.0
3,5916.0
3,6864.0
3,6863.0
3,6863.0
3,6863.0
3,6863.0
3,6863.0
3,6785.0
3,6782.0
3,7558.0
3,7557.0
3,7557.0
3,7557.0
3,7557.0
3,7550.0
3,7550.0
3,8134.0
3,8132.0
3,8132.0
3,8132.0
3,8132.0
3,8132.0
3,9059.0
3,9058.0
3,9058.0
3,9058.0
3,9011.0
3,9011.0
3,9264.0
3,9264.0
3,9261.0
3,9260.0
3,9260.0
3,9260.0
3,9260.0
3,9260.0
3,9260.0
3,9260.0
3,9253.0
3,9253.0
3,9219.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9218.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9791.0
3,9780.0
3,9780.0
3,10553.0
3,10553.0
3,10553.0
3,10553.0
3,10553.0
3,11320.0
3,11725.0
3,11702.0
3,11701.0
3,11701.0
3,11701.0
3,11701.0
3,11682.0
3,12288.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12287.0
3,12225.0
3,12225.0
3,12689.0
3,12686.0
3,12686.0
3,12686.0
3,12686.0
3,12686.0
3,12659.0
3,12869.0
3,12866.0
3,12866.0
3,12866.0
3,12866.0
3,13246.0
3,13246.0
3,13246.0
3,13481.0
3,13467.0
3,13467.0
3,13467.0
3,13467.0
3,13467.0
3,13467.0
3,13442.0
3,13442.0
3,13439.0
3,13967.0
3,13964.0
3,13964.0
3,13964.0
3,13964.0
3,13964.0
3,13964.0
3,13964.0
3,14359.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14357.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14477.0
3,14466.0
3,14465.0
3,14447.0
3,14568.0
3,14566.0
3,14566.0
3,14566.0
3,14566.0
3,14566.0
3,14566.0
3,14566.0
3,14566.0
3,14566.0
3,14566.0
3,14450.0
3,14633.0
3,14628.0
3,14627.0
3,14627.0
3,14627.0
3,14627.0
3,14627.0
3,14627.0
3,14627.0
3,14627.0
3,14627.0
3,14618.0
3,14618.0
3,14574.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14776.0
3,14753.0
3,15161.0
3,15161.0
3,15161.0
3,15160.0
3,15123.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15835.0
3,15817.0
3,15817.0
3,16109.0
3,16108.0
3,16108.0
3,16108.0
3,16108.0
3,16108.0
3,16108.0
3,16074.0
3,17061.0
3,17059.0
3,17059.0
3,17254.0
3,17254.0
3,17254.0
3,17254.0
3,17254.0
3,17254.0
3,17254.0
3,17243.0
3,17613.0
3,17611.0
3,17611.0
3,17611.0
3,17611.0
3,17580.0
3,18534.0
3,18534.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18532.0
3,18750.0
3,18750.0
3,18748.0
3,18747.0
3,18746.0
3,18746.0
3,18746.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19356.0
3,19822.0
3,19822.0
3,19822.0
3,19822.0
3,19822.0
3,19822.0
3,19822.0
3,19822.0
3,19822.0
