"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,0,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
3,10,20,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
5,10,40,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
7,10,60,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
9,10,80,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
11,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
13,10,120,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
15,10,140,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
17,10,160,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
19,10,180,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
21,10,200,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
23,10,220,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
25,10,240,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
27,10,260,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
29,10,280,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
31,10,300,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
33,10,320,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
35,10,340,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
37,10,360,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
39,10,380,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
41,10,400,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
43,10,420,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
45,10,440,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
47,10,460,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
49,10,480,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
51,10,500,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
2,10,10,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
4,10,30,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
6,10,50,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
8,10,70,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
10,10,90,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
12,10,110,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
14,10,130,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
16,10,150,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
18,10,170,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
20,10,190,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
22,10,210,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
24,10,230,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
26,10,250,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
28,10,270,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
30,10,290,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
32,10,310,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
34,10,330,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
36,10,350,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
38,10,370,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
40,10,390,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
42,10,410,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
44,10,430,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
46,10,450,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
48,10,470,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
50,10,490,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
