"run","stored","consumed","remaining"
1,0.0,1.9000000283122063,35919.0
1,938.0,4.200000107288361,34971.0
1,938.0,6.200000166893005,34971.0
1,930.0,8.20000010728836,34971.0
1,930.0,10.200000047683716,34971.0
1,930.0,12.200000524520874,34971.0
1,930.0,14.200001001358032,34971.0
1,930.0,16.000001311302185,34971.0
1,930.0,18.800001859664917,34971.0
1,930.0,21.60000240802765,34971.0
1,930.0,24.4000027179718,34971.0
1,1843.0,27.200002908706665,34050.0
1,1843.0,29.200003147125244,34050.0
1,1843.0,30.400002241134644,34050.0
1,1843.0,34.40000295639038,34050.0
1,1843.0,38.40000343322754,34050.0
1,1843.0,42.40000295639038,34050.0
1,1843.0,46.40000009536743,34050.0
1,1843.0,50.399996757507324,34050.0
1,1843.0,54.39999341964722,34050.0
1,1801.0,58.39999008178711,34050.0
1,2101.0,62.399986267089844,33741.0
1,2101.0,64.19998455047607,33741.0
1,2101.0,65.9999828338623,33741.0
1,2101.0,67.79998111724854,33741.0
1,2101.0,69.59997940063477,33741.0
1,2101.0,71.399977684021,33741.0
1,2101.0,73.19997596740723,33741.0
1,2101.0,74.99997425079346,33741.0
1,2101.0,76.79997253417969,33741.0
1,2101.0,77.79997205734253,33741.0
1,2101.0,81.59996843338013,33741.0
1,2101.0,85.39996671676636,33741.0
1,2101.0,89.19996309280396,33741.0
1,2101.0,92.99995946884155,33741.0
1,2101.0,96.79995632171631,33741.0
1,2101.0,100.59995317459106,33741.0
1,2101.0,104.39995002746582,33741.0
1,2057.0,108.19994688034058,33741.0
1,2858.0,111.99994373321533,32932.0
1,2858.0,113.79994249343872,32932.0
1,2858.0,115.59994125366211,32932.0
1,2858.0,117.3999400138855,32932.0
1,2858.0,119.19993877410889,32932.0
1,2858.0,120.99993753433228,32932.0
1,2858.0,122.79993629455566,32932.0
1,2858.0,124.59993505477905,32932.0
1,2858.0,126.39993476867676,32932.0
1,2858.0,128.19993543624878,32932.0
1,2858.0,129.9999361038208,32932.0
1,2858.0,131.2999391555786,32932.0
1,2858.0,135.6999387741089,32932.0
1,2858.0,140.09993839263916,32932.0
1,2858.0,144.49993801116943,32932.0
1,2858.0,148.8999376296997,32932.0
1,2858.0,153.29993724822998,32932.0
1,2858.0,157.69993686676025,32932.0
1,2858.0,162.09994220733643,32932.0
1,2849.0,166.49995231628418,32932.0
1,2849.0,170.89996433258057,32932.0
1,2845.0,175.09997749328613,32874.0
1,2835.0,177.09998416900635,32874.0
1,2835.0,179.09999084472656,32874.0
1,2827.0,181.09999752044678,32874.0
1,2827.0,183.100004196167,32874.0
1,2827.0,185.1000108718872,32874.0
1,2827.0,187.10001754760742,32874.0
1,2827.0,189.10002422332764,32874.0
1,2827.0,191.10003089904785,32874.0
1,2827.0,193.10003757476807,32874.0
1,2827.0,195.10004425048828,32874.0
1,2827.0,197.1000509262085,32874.0
1,2827.0,198.10005474090576,32874.0
1,2827.0,202.50006771087646,32874.0
1,2827.0,206.90008068084717,32874.0
1,2827.0,211.30009365081787,32874.0
1,2827.0,215.70010662078857,32874.0
1,2827.0,220.1001205444336,32874.0
1,2827.0,224.50013542175293,32874.0
1,2827.0,228.90015029907227,32874.0
1,2827.0,233.3001651763916,32874.0
1,2827.0,237.70018005371094,32874.0
1,2918.0,242.10019493103027,32717.0
1,2918.0,244.1002025604248,32717.0
1,2908.0,246.10021018981934,32717.0
1,2908.0,248.10021781921387,32717.0
1,2908.0,250.1002254486084,32717.0
1,2908.0,252.1002311706543,32717.0
1,2908.0,254.10023880004883,32717.0
1,2908.0,256.10024642944336,32717.0
1,2908.0,258.1002540588379,32717.0
1,2908.0,260.1002616882324,32717.0
1,2908.0,262.10026931762695,32717.0
1,2908.0,263.1002712249756,32717.0
1,2908.0,267.5002861022949,32717.0
1,2908.0,271.90030097961426,32717.0
1,2908.0,276.3003158569336,32717.0
1,2908.0,280.70033073425293,32717.0
1,2908.0,285.10034561157227,32717.0
1,2908.0,289.5003604888916,32717.0
1,2908.0,293.90037536621094,32717.0
1,2908.0,298.3003902435303,32717.0
1,2844.0,302.70040702819824,32717.0
1,3292.0,307.1004238128662,32269.0
1,3282.0,309.10043144226074,32269.0
1,3272.0,311.1004390716553,32269.0
1,3272.0,313.1004467010498,32269.0
1,3272.0,315.10045433044434,32269.0
1,3272.0,317.10046195983887,32269.0
1,3272.0,319.1004695892334,32269.0
1,3272.0,321.10047721862793,32269.0
1,3272.0,323.10048484802246,32269.0
1,3272.0,325.100492477417,32269.0
1,3272.0,327.1005001068115,32269.0
1,3272.0,328.10049629211426,32269.0
1,3272.0,332.50050354003906,32269.0
1,3272.0,336.90052032470703,32269.0
1,3272.0,341.300537109375,32269.0
1,3272.0,345.70055389404297,32269.0
1,3272.0,350.10057067871094,32269.0
1,3272.0,354.5005874633789,32269.0
1,3272.0,358.9006042480469,32269.0
1,3272.0,363.30062103271484,32269.0
1,3272.0,367.7006378173828,32269.0
1,3208.0,372.1006546020508,32269.0
1,3390.0,374.5006637573242,32076.0
1,3380.0,376.50067138671875,32076.0
1,3380.0,378.5006790161133,32076.0
1,3380.0,380.5006866455078,32076.0
1,3380.0,382.50069427490234,32076.0
1,3380.0,384.5007019042969,32076.0
1,3380.0,386.5007095336914,32076.0
1,3380.0,388.50071716308594,32076.0
1,3380.0,390.50072479248047,32076.0
1,3380.0,392.500732421875,32076.0
1,3380.0,394.50074005126953,32076.0
1,3380.0,396.50074768066406,32076.0
1,3380.0,397.500732421875,32076.0
1,3380.0,401.90074920654297,32076.0
1,3380.0,406.30076599121094,32076.0
