"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,1,100,50,0,1.0,111460438,15,0,0,100,250,0,100,0.1,25,75,100
3,3,100,50,0,1.0,111461295,15,0,0,100,250,0,100,0.1,25,75,100
5,5,100,50,0,1.0,111462671,15,0,0,100,250,0,100,0.1,25,75,100
7,7,100,50,0,1.0,111464160,15,0,0,100,250,0,100,0.1,25,75,100
9,9,100,50,0,1.0,111467223,15,0,0,100,250,0,100,0.1,25,75,100
11,11,100,50,0,1.0,111470825,15,0,0,100,250,0,100,0.1,25,75,100
13,13,100,50,0,1.0,111474674,15,0,0,100,250,0,100,0.1,25,75,100
15,15,100,50,0,1.0,111478412,15,0,0,100,250,0,100,0.1,25,75,100
17,17,100,50,0,1.0,111482328,15,0,0,100,250,0,100,0.1,25,75,100
19,19,100,50,0,1.0,111487095,15,0,0,100,250,0,100,0.1,25,75,100
2,2,100,50,0,1.0,111460451,15,0,0,100,250,0,100,0.1,25,75,100
4,4,100,50,0,1.0,111461662,15,0,0,100,250,0,100,0.1,25,75,100
6,6,100,50,0,1.0,111463041,15,0,0,100,250,0,100,0.1,25,75,100
8,8,100,50,0,1.0,111464970,15,0,0,100,250,0,100,0.1,25,75,100
10,10,100,50,0,1.0,111468801,15,0,0,100,250,0,100,0.1,25,75,100
12,12,100,50,0,1.0,111472334,15,0,0,100,250,0,100,0.1,25,75,100
14,14,100,50,0,1.0,111476418,15,0,0,100,250,0,100,0.1,25,75,100
16,16,100,50,0,1.0,111480177,15,0,0,100,250,0,100,0.1,25,75,100
18,18,100,50,0,1.0,111484669,15,0,0,100,250,0,100,0.1,25,75,100
20,20,100,50,0,1.0,111489503,15,0,0,100,250,0,100,0.1,25,75,100
