"run","stored","consumed","remaining"
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
1,897.0,0.0,154775.0
