"run","stored","consumed","remaining"
1,897.0,2.0000000298023224,154775.0
1,892.0,3.500000089406967,154775.0
1,892.0,6.900000095367432,154775.0
1,886.0,10.100000321865082,154775.0
1,1409.0,14.000001013278961,154246.0
1,1409.0,17.80000150203705,154246.0
1,2231.0,21.60000240802765,153424.0
1,2221.0,24.60000228881836,153424.0
1,2214.0,27.600002765655518,153424.0
1,2211.0,30.40000319480896,153424.0
1,3057.0,31.9000027179718,152578.0
1,3054.0,35.10000276565552,152578.0
1,3054.0,38.300002336502075,152578.0
1,3054.0,41.500001668930054,152578.0
1,3054.0,45.40000009536743,152578.0
1,3054.0,50.199997425079346,152578.0
1,3025.0,54.99999380111694,152578.0
1,3296.0,58.399991035461426,152307.0
1,3937.0,60.39998912811279,151659.0
1,3937.0,62.39998722076416,151659.0
1,3937.0,64.39998579025269,151659.0
1,3937.0,66.39998435974121,151659.0
1,3937.0,68.39998245239258,151659.0
1,3937.0,70.39998054504395,151659.0
1,3937.0,72.19997882843018,151659.0
1,3937.0,74.99997663497925,151659.0
1,3937.0,77.79997491836548,151659.0
1,3937.0,80.59997224807739,151659.0
1,3937.0,82.59997224807739,151659.0
1,3937.0,87.39996767044067,151659.0
1,3937.0,92.19996309280396,151659.0
1,4419.0,96.99995851516724,151162.0
1,4417.0,100.99995517730713,151162.0
1,4417.0,104.99995136260986,151162.0
1,4417.0,108.9999475479126,151162.0
1,4417.0,112.99994373321533,151162.0
1,4417.0,116.99994087219238,151162.0
1,4550.0,120.99993896484375,150975.0
1,4550.0,122.99993801116943,150975.0
1,4550.0,124.99993705749512,150975.0
1,4550.0,126.79993724822998,150975.0
1,4550.0,129.5999355316162,150975.0
1,4550.0,132.39993381500244,150975.0
1,4550.0,135.19993209838867,150975.0
1,4550.0,137.9999303817749,150975.0
1,4550.0,140.79992866516113,150975.0
1,4550.0,143.59992694854736,150975.0
1,4550.0,146.39992809295654,150975.0
1,4537.0,149.19993019104004,150975.0
1,4779.0,150.39993476867676,150731.0
1,4777.0,154.39993476867676,150731.0
1,4777.0,158.39993572235107,150731.0
1,4777.0,162.3999376296997,150731.0
1,4777.0,166.3999423980713,150731.0
1,4777.0,170.39995002746582,150731.0
1,4777.0,174.39995765686035,150731.0
1,4777.0,178.39996528625488,150731.0
1,4777.0,182.1999740600586,150731.0
1,4777.0,186.99998664855957,150731.0
1,4725.0,191.80000114440918,150731.0
1,5360.0,196.6000156402588,150087.0
1,5360.0,199.4000244140625,150087.0
1,5360.0,202.2000331878662,150087.0
1,5360.0,205.00004196166992,150087.0
1,5360.0,207.80005073547363,150087.0
1,6010.0,210.60005950927734,149424.0
1,6008.0,212.60006713867188,149424.0
1,6008.0,214.6000747680664,149424.0
1,6008.0,216.60008239746094,149424.0
1,6008.0,218.60009002685547,149424.0
1,6008.0,219.8000946044922,149424.0
1,6008.0,223.80010795593262,149424.0
1,6008.0,227.80012130737305,149424.0
1,6008.0,231.80013465881348,149424.0
1,6008.0,235.8001480102539,149424.0
1,6008.0,239.60016059875488,149424.0
1,6008.0,244.4001750946045,149424.0
1,6008.0,249.2001895904541,149424.0
1,6008.0,254.0002040863037,149424.0
