"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,100,50,0,1.0,110591553,15,0,0,100,250,0,100,0.1,0,75,100
3,10,100,50,0,1.0,110594101,15,0,0,100,250,0,100,0.1,4,75,100
5,10,100,50,0,1.0,110596329,15,0,0,100,250,0,100,0.1,8,75,100
7,10,100,50,0,1.0,110598853,15,0,0,100,250,0,100,0.1,12,75,100
9,10,100,50,0,1.0,110601368,15,0,0,100,250,0,100,0.1,16,75,100
11,10,100,50,0,1.0,110603759,15,0,0,100,250,0,100,0.1,20,75,100
13,10,100,50,0,1.0,110606238,15,0,0,100,250,0,100,0.1,24,75,100
15,10,100,50,0,1.0,110608977,15,0,0,100,250,0,100,0.1,28,75,100
17,10,100,50,0,1.0,110611553,15,0,0,100,250,0,100,0.1,32,75,100
19,10,100,50,0,1.0,110615126,15,0,0,100,250,0,100,0.1,36,75,100
2,10,100,50,0,1.0,110591525,15,0,0,100,250,0,100,0.1,2,75,100
4,10,100,50,0,1.0,110593947,15,0,0,100,250,0,100,0.1,6,75,100
6,10,100,50,0,1.0,110595900,15,0,0,100,250,0,100,0.1,10,75,100
8,10,100,50,0,1.0,110598622,15,0,0,100,250,0,100,0.1,14,75,100
10,10,100,50,0,1.0,110601250,15,0,0,100,250,0,100,0.1,18,75,100
12,10,100,50,0,1.0,110604010,15,0,0,100,250,0,100,0.1,22,75,100
14,10,100,50,0,1.0,110606634,15,0,0,100,250,0,100,0.1,26,75,100
16,10,100,50,0,1.0,110609374,15,0,0,100,250,0,100,0.1,30,75,100
18,10,100,50,0,1.0,110612457,15,0,0,100,250,0,100,0.1,34,75,100
