"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,0,300,100
3,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,4,300,100
5,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,8,300,100
7,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,12,300,100
9,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,16,300,100
11,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,20,300,100
13,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,24,300,100
15,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,28,300,100
17,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,32,300,100
19,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,36,300,100
21,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,40,300,100
23,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,44,300,100
25,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,48,300,100
27,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,52,300,100
29,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,56,300,100
31,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,60,300,100
33,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,64,300,100
35,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,68,300,100
2,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,2,300,100
4,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,6,300,100
6,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,10,300,100
8,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,14,300,100
10,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,18,300,100
12,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,22,300,100
14,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,26,300,100
16,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,30,300,100
18,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,34,300,100
20,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,38,300,100
22,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,42,300,100
24,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,46,300,100
26,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
28,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,54,300,100
30,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,58,300,100
32,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,62,300,100
34,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,66,300,100
36,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,70,300,100
