"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,0,50,0,1.0,109840892,15,0,0,100,250,0,100,0.1,25,75,100
3,10,20,50,0,1.0,109844174,15,0,0,100,250,0,100,0.1,25,75,100
5,10,40,50,0,1.0,109847312,15,0,0,100,250,0,100,0.1,25,75,100
7,10,60,50,0,1.0,109850064,15,0,0,100,250,0,100,0.1,25,75,100
9,10,80,50,0,1.0,109852744,15,0,0,100,250,0,100,0.1,25,75,100
11,10,100,50,0,1.0,109855372,15,0,0,100,250,0,100,0.1,25,75,100
13,10,120,50,0,1.0,109858423,15,0,0,100,250,0,100,0.1,25,75,100
15,10,140,50,0,1.0,109861046,15,0,0,100,250,0,100,0.1,25,75,100
17,10,160,50,0,1.0,109863677,15,0,0,100,250,0,100,0.1,25,75,100
19,10,180,50,0,1.0,109866206,15,0,0,100,250,0,100,0.1,25,75,100
21,10,200,50,0,1.0,109868704,15,0,0,100,250,0,100,0.1,25,75,100
23,10,220,50,0,1.0,109871609,15,0,0,100,250,0,100,0.1,25,75,100
25,10,240,50,0,1.0,109874388,15,0,0,100,250,0,100,0.1,25,75,100
27,10,260,50,0,1.0,109876980,15,0,0,100,250,0,100,0.1,25,75,100
29,10,280,50,0,1.0,109879695,15,0,0,100,250,0,100,0.1,25,75,100
31,10,300,50,0,1.0,109882515,15,0,0,100,250,0,100,0.1,25,75,100
33,10,320,50,0,1.0,109885205,15,0,0,100,250,0,100,0.1,25,75,100
35,10,340,50,0,1.0,109887814,15,0,0,100,250,0,100,0.1,25,75,100
37,10,360,50,0,1.0,109890426,15,0,0,100,250,0,100,0.1,25,75,100
39,10,380,50,0,1.0,109892986,15,0,0,100,250,0,100,0.1,25,75,100
41,10,400,50,0,1.0,109895735,15,0,0,100,250,0,100,0.1,25,75,100
43,10,420,50,0,1.0,109898358,15,0,0,100,250,0,100,0.1,25,75,100
45,10,440,50,0,1.0,109901192,15,0,0,100,250,0,100,0.1,25,75,100
47,10,460,50,0,1.0,109904021,15,0,0,100,250,0,100,0.1,25,75,100
49,10,480,50,0,1.0,109906597,15,0,0,100,250,0,100,0.1,25,75,100
51,10,500,50,0,1.0,109908954,15,0,0,100,250,0,100,0.1,25,75,100
2,10,10,50,0,1.0,109840892,15,0,0,100,250,0,100,0.1,25,75,100
4,10,30,50,0,1.0,109844050,15,0,0,100,250,0,100,0.1,25,75,100
6,10,50,50,0,1.0,109847312,15,0,0,100,250,0,100,0.1,25,75,100
8,10,70,50,0,1.0,109850112,15,0,0,100,250,0,100,0.1,25,75,100
10,10,90,50,0,1.0,109852728,15,0,0,100,250,0,100,0.1,25,75,100
12,10,110,50,0,1.0,109855278,15,0,0,100,250,0,100,0.1,25,75,100
14,10,130,50,0,1.0,109857985,15,0,0,100,250,0,100,0.1,25,75,100
16,10,150,50,0,1.0,109860781,15,0,0,100,250,0,100,0.1,25,75,100
18,10,170,50,0,1.0,109863270,15,0,0,100,250,0,100,0.1,25,75,100
20,10,190,50,0,1.0,109865894,15,0,0,100,250,0,100,0.1,25,75,100
22,10,210,50,0,1.0,109868579,15,0,0,100,250,0,100,0.1,25,75,100
24,10,230,50,0,1.0,109871187,15,0,0,100,250,0,100,0.1,25,75,100
26,10,250,50,0,1.0,109873935,15,0,0,100,250,0,100,0.1,25,75,100
28,10,270,50,0,1.0,109876387,15,0,0,100,250,0,100,0.1,25,75,100
30,10,290,50,0,1.0,109878878,15,0,0,100,250,0,100,0.1,25,75,100
32,10,310,50,0,1.0,109881672,15,0,0,100,250,0,100,0.1,25,75,100
34,10,330,50,0,1.0,109884221,15,0,0,100,250,0,100,0.1,25,75,100
36,10,350,50,0,1.0,109886813,15,0,0,100,250,0,100,0.1,25,75,100
38,10,370,50,0,1.0,109889692,15,0,0,100,250,0,100,0.1,25,75,100
40,10,390,50,0,1.0,109892268,15,0,0,100,250,0,100,0.1,25,75,100
42,10,410,50,0,1.0,109894985,15,0,0,100,250,0,100,0.1,25,75,100
44,10,430,50,0,1.0,109897624,15,0,0,100,250,0,100,0.1,25,75,100
46,10,450,50,0,1.0,109900341,15,0,0,100,250,0,100,0.1,25,75,100
48,10,470,50,0,1.0,109903177,15,0,0,100,250,0,100,0.1,25,75,100
50,10,490,50,0,1.0,109905675,15,0,0,100,250,0,100,0.1,25,75,100
