"run","stored","consumed"
1,0.0,1.9000000283122063
1,0.0,3.9000000804662704
1,149.0,7.900000095367432
1,142.0,9.900000095367432
1,142.0,12.000000536441803
1,138.0,15.600001215934753
1,127.0,19.60000216960907
1,1062.0,21.60000252723694
1,1062.0,23.600003004074097
1,1055.0,25.600003480911255
1,1055.0,27.500003814697266
1,1055.0,29.30000329017639
1,1055.0,33.30000424385071
1,2049.0,37.300004720687866
1,2049.0,39.20000457763672
1,2035.0,41.100003242492676
1,2029.0,43.000001668930054
1,2028.0,44.89999985694885
1,2028.0,46.79999804496765
1,2028.0,48.399996519088745
1,2028.0,52.29999351501465
1,2028.0,56.29999017715454
1,2028.0,60.299986839294434
1,2001.0,64.29998350143433
1,2001.0,66.7999815940857
1,2471.0,69.09997987747192
1,2463.0,70.99997806549072
1,2463.0,72.89997673034668
1,2463.0,74.79997491836548
1,2463.0,76.69997310638428
1,2463.0,78.49997138977051
1,2463.0,80.29996967315674
1,2463.0,82.29997062683105
1,2463.0,85.69996786117554
1,2463.0,89.69996404647827
1,2463.0,93.699960231781
1,2463.0,97.6999568939209
1,2463.0,101.69995307922363
1,2430.0,105.59994983673096
1,2459.0,107.49994850158691
1,2459.0,109.39994716644287
1,2459.0,111.29994583129883
1,2459.0,113.19994449615479
1,2459.0,115.09994316101074
1,2459.0,118.19994068145752
1,2459.0,121.59993743896484
1,2459.0,124.99993419647217
1,2459.0,128.29993152618408
1,2450.0,131.99992847442627
1,2450.0,135.09992599487305
1,3374.0,138.5999231338501
1,3373.0,141.59992027282715
1,3373.0,144.4999179840088
1,3373.0,147.19991874694824
1,3373.0,149.89991855621338
1,3373.0,153.29991912841797
1,3373.0,156.59992122650146
1,3373.0,160.79992485046387
1,3373.0,164.99993133544922
1,3370.0,169.1999397277832
1,3844.0,173.2999496459961
1,3844.0,175.7999563217163
1,3843.0,178.2999620437622
1,3843.0,180.1999683380127
1,3843.0,183.4999771118164
1,3842.0,186.9999885559082
1,4294.0,190.29999923706055
1,4294.0,193.70001029968262
1,4335.0,197.1000213623047
1,4329.0,199.10002899169922
1,4326.0,201.00003623962402
1,4324.0,203.60004425048828
1,4323.0,205.90005111694336
1,4323.0,208.80005836486816
1,4322.0,211.10006523132324
1,4322.0,215.0000762939453
1,4322.0,216.5000820159912
1,4322.0,218.20008850097656
1,4320.0,221.5000991821289
1,4320.0,225.30010986328125
1,5086.0,229.70012283325195
1,5085.0,231.70013046264648
1,5084.0,233.70013809204102
1,5083.0,235.60014533996582
1,5083.0,238.20015335083008
1,5083.0,240.80016136169434
1,5083.0,243.30016899108887
1,5083.0,246.40017700195312
1,5083.0,249.8001880645752
1,5083.0,253.10019874572754
1,5821.0,257.3002109527588
1,5818.0,260.70022201538086
1,5812.0,264.10023307800293
1,5812.0,267.500244140625
1,6461.0,270.90025520324707
1,6461.0,272.70026206970215
1,6456.0,275.40027046203613
1,6456.0,277.30027770996094
1,6452.0,280.700288772583
1,6440.0,284.500301361084
1,6440.0,287.50031089782715
1,7049.0,290.1003189086914
1,7041.0,292.10032653808594
1,7041.0,294.10033416748047
1,7041.0,296.0003414154053
1,7041.0,297.9003486633301
1,7041.0,299.8003559112549
1,7041.0,301.7003631591797
1,7041.0,304.2003688812256
1,7041.0,306.7003765106201
1,7041.0,309.50038719177246
1,7041.0,312.3003959655762
1,7041.0,315.1004066467285
1,7041.0,317.8004150390625
1,7041.0,321.5004291534424
1,7041.0,324.20043563842773
1,7034.0,328.0004482269287
1,7033.0,331.8004608154297
1,7577.0,334.8004722595215
1,7576.0,337.8004837036133
1,7576.0,340.9004936218262
1,7575.0,343.60050201416016
1,7575.0,347.4005126953125
1,8365.0,351.600528717041
1,8365.0,354.80054092407227
1,8362.0,358.0005531311035
1,8362.0,361.20056533813477
1,8362.0,364.400577545166
1,8362.0,367.60058975219727
1,8362.0,370.70059967041016
1,8362.0,374.50061416625977
1,8362.0,378.3006286621094
1,8362.0,382.100643157959
1,8362.0,385.9006576538086
1,9085.0,389.7006721496582
1,9081.0,392.1006774902344
1,9081.0,395.6006889343262
1,9078.0,399.10070037841797
1,9077.0,402.60071182250977
1,9077.0,406.10072326660156
1,9077.0,409.60073471069336
1,9077.0,413.10074615478516
1,9499.0,416.60075759887695
1,9498.0,419.5007667541504
1,9482.0,422.4007759094238
1,9743.0,424.30078125
1,9742.0,426.2007865905762
1,9741.0,428.10079193115234
1,9741.0,430.0007972717285
1,9741.0,431.9008026123047
1,9741.0,433.80080795288086
1,9741.0,435.6008110046387
1,9741.0,437.4008140563965
1,9741.0,439.2008171081543
1,9741.0,441.70082092285156
1,9741.0,444.30083084106445
1,9741.0,447.30084228515625
1,9741.0,450.30085372924805
1,9741.0,453.2008628845215
1,9741.0,456.00086975097656
1,9741.0,459.8008842468262
1,9741.0,463.6008987426758
1,9741.0,467.4009132385254
1,9741.0,471.10092544555664
1,9741.0,474.8009376525879
1,9741.0,478.4009475708008
1,9741.0,482.0009574890137
1,9741.0,485.60096740722656
1,9741.0,489.20097732543945
1,9741.0,492.80098724365234
1,9705.0,496.40099716186523
1,10114.0,500.0010070800781
1,10114.0,502.60101318359375
1,10111.0,505.2010192871094
1,10111.0,507.801025390625
1,10111.0,510.4010314941406
1,10079.0,513.0010375976562
1,10079.0,515.6010437011719
1,10627.0,518.7010536193848
1,10626.0,521.1010627746582
1,10626.0,524.10107421875
1,10626.0,527.1010856628418
1,10626.0,530.1010971069336
1,10626.0,533.001106262207
1,10626.0,535.8011131286621
1,10626.0,538.6011199951172
1,10626.0,541.4011268615723
1,10626.0,544.2011337280273
1,10626.0,547.0011405944824
1,10626.0,549.8011474609375
1,10626.0,552.6011543273926
1,10626.0,555.4011611938477
1,10626.0,558.2011680603027
1,10626.0,561.0011749267578
1,10626.0,563.8011817932129
1,10626.0,566.6011848449707
1,10626.0,569.4011840820312
1,10575.0,572.2011795043945
1,10572.0,575.0011749267578
1,10572.0,577.201171875
1,11224.0,579.4011688232422
1,11221.0,582.6011734008789
1,11218.0,585.8011779785156
1,11218.0,589.0011825561523
1,11218.0,592.2011871337891
1,11218.0,595.4011840820312
1,11218.0,598.6011810302734
1,11218.0,601.8011779785156
1,11218.0,605.0011749267578
1,11218.0,608.201171875
1,11218.0,611.1011657714844
1,11218.0,613.9011611938477
1,11218.0,617.0011558532715
1,11218.0,621.2011528015137
1,11218.0,625.4011497497559
1,11218.0,629.6011390686035
1,11218.0,633.8011283874512
1,11218.0,638.1011123657227
1,11218.0,643.1011009216309
1,11218.0,648.0010871887207
1,11218.0,652.9010734558105
1,11218.0,657.8010559082031
1,11218.0,662.7010269165039
1,11150.0,667.6009979248047
1,11150.0,672.5009651184082
1,11629.0,677.4009284973145
1,11629.0,681.1008987426758
1,11622.0,684.6008644104004
1,11853.0,687.5008316040039
1,11851.0,690.4007987976074
1,11813.0,693.3007659912109
1,12174.0,696.2007331848145
1,12171.0,698.1007080078125
1,12168.0,700.0006828308105
1,12168.0,701.9006576538086
1,12168.0,703.8006324768066
1,12168.0,705.9006042480469
1,12168.0,709.3005752563477
1,12168.0,712.7005386352539
1,12168.0,716.1005020141602
1,12168.0,719.5004577636719
1,12168.0,722.9004135131836
1,12168.0,726.3003692626953
1,12163.0,729.6003265380859
1,12162.0,732.8002853393555
1,12162.0,736.000244140625
1,12130.0,739.0002059936523
1,13069.0,740.800178527832
1,13064.0,743.3001480102539
1,13060.0,745.3001174926758
1,13058.0,747.6000823974609
1,13057.0,749.5000534057617
1,13056.0,751.9000244140625
1,13056.0,754.8999862670898
1,13055.0,758.0999450683594
1,13055.0,761.2999038696289
1,13055.0,764.4998626708984
1,13055.0,767.699821472168
1,13055.0,770.8997802734375
1,13055.0,773.9997406005859
1,13055.0,777.7996978759766
1,13055.0,781.5996551513672
1,13055.0,785.3996124267578
1,13055.0,789.1995697021484
1,13046.0,792.899528503418
1,13278.0,797.2994842529297
1,13278.0,800.4994506835938
1,13277.0,803.5994186401367
1,13277.0,806.6993865966797
1,13277.0,809.7993545532227
1,13277.0,812.8993225097656
1,13277.0,815.9992904663086
1,13277.0,819.0992584228516
1,13277.0,822.1992263793945
1,13258.0,825.2991943359375
1,13975.0,828.3991622924805
1,13975.0,830.8991317749023
1,13975.0,833.3991012573242
1,13975.0,835.6990737915039
1,13975.0,838.399040222168
1,13975.0,842.3989944458008
1,13958.0,846.3989486694336
1,14282.0,849.7989044189453
1,14281.0,853.198860168457
1,14281.0,856.4988174438477
1,14281.0,860.4987716674805
1,14281.0,864.4987258911133
1,14281.0,868.4986801147461
1,14281.0,872.3986358642578
1,14281.0,877.1985855102539
1,14281.0,881.99853515625
1,14273.0,886.7984848022461
1,14244.0,891.4984359741211
1,14244.0,896.1983871459961
1,15160.0,899.4983520507812
1,15160.0,902.7983169555664
1,15160.0,906.0982818603516
1,15160.0,909.3982467651367
1,15160.0,912.6982116699219
1,15160.0,916.1981735229492
1,15160.0,919.4981384277344
1,15142.0,922.7981033325195
1,15852.0,926.9980621337891
1,15852.0,930.5980224609375
1,15852.0,934.1979827880859
1,15834.0,937.7979431152344
1,16665.0,941.0979080200195
1,16663.0,943.3978805541992
1,16662.0,946.2978439331055
1,16662.0,950.0978012084961
1,16662.0,953.1977615356445
1,16662.0,956.297721862793
1,16662.0,960.0976791381836
1,16662.0,963.8976364135742
1,16662.0,967.6975936889648
1,16662.0,971.4975509643555
1,16662.0,975.2975082397461
1,16662.0,978.9974670410156
1,16599.0,982.6974258422852
1,16599.0,986.2973861694336
1,17397.0,988.2973556518555
1,17397.0,991.2973175048828
1,17397.0,994.2972793579102
1,17397.0,997.2972412109375
1,17397.0,1000.2972030639648
1,17397.0,1003.2971649169922
1,17397.0,1006.1971282958984
1,17397.0,1008.9970932006836
1,17397.0,1012.597053527832
1,17397.0,1015.2970199584961
1,17397.0,1018.8969802856445
1,17397.0,1022.6969375610352
1,17397.0,1026.4968948364258
1,17397.0,1030.2968521118164
1,17397.0,1034.096809387207
1,17377.0,1037.8967666625977
1,17377.0,1041.6967239379883
1,17445.0,1045.496681213379
1,17428.0,1048.296646118164
1,17428.0,1051.0966110229492
1,17428.0,1053.7965774536133
1,17428.0,1056.4965438842773
1,17428.0,1059.1965103149414
1,17428.0,1061.8964767456055
1,17399.0,1064.5964431762695
1,17399.0,1067.2964096069336
1,18385.0,1069.1963806152344
1,18385.0,1071.0963516235352
1,18383.0,1072.996322631836
1,18383.0,1074.8962936401367
1,18383.0,1076.7962646484375
1,18383.0,1078.6962356567383
1,18383.0,1080.596206665039
1,18383.0,1082.4961776733398
1,18383.0,1084.3961486816406
1,18383.0,1086.2961196899414
1,18383.0,1088.1960906982422
1,18383.0,1090.096061706543
1,18383.0,1092.0960311889648
1,18383.0,1095.2959899902344
1,18383.0,1098.495948791504
1,18383.0,1101.6959075927734
1,18383.0,1104.7958679199219
1,18383.0,1107.8958282470703
1,18383.0,1110.9957885742188
1,18383.0,1114.6957473754883
1,18383.0,1118.695701599121
1,18383.0,1122.6956634521484
1,18383.0,1126.6956176757812
1,18383.0,1130.695571899414
1,18383.0,1134.6955261230469
1,18383.0,1138.6954803466797
1,18383.0,1142.6954345703125
1,18383.0,1146.6953887939453
1,18383.0,1150.595344543457
1,18331.0,1154.4953002929688
1,19012.0,1158.3952560424805
1,19012.0,1161.0952224731445
1,19012.0,1163.7951889038086
1,19012.0,1166.4951553344727
1,19012.0,1169.1951217651367
1,19012.0,1171.8950881958008
1,19012.0,1174.5950546264648
1,18988.0,1177.2950134277344
1,19090.0,1179.994972229004
1,19090.0,1181.8949432373047
1,19090.0,1183.7949142456055
1,19090.0,1185.6948852539062
1,19090.0,1187.594856262207
1,19090.0,1189.4948272705078
1,19090.0,1191.5947952270508
1,19090.0,1194.5947570800781
1,19090.0,1197.5947189331055
1,19090.0,1200.5946807861328
1,19090.0,1203.5946426391602
1,19090.0,1206.5946044921875
1,19090.0,1209.5945663452148
1,19090.0,1212.5945358276367
1,19090.0,1215.594497680664
1,19090.0,1218.4944610595703
1,19090.0,1221.794418334961
1,19090.0,1226.0943756103516
1,19090.0,1230.1943283081055
1,19090.0,1234.0942840576172
1,19090.0,1239.0942153930664
1,19090.0,1244.094139099121
1,19090.0,1249.0940628051758
1,19090.0,1254.0939865112305
1,19090.0,1259.0939102172852
1,19090.0,1264.0938339233398
1,19090.0,1269.0937576293945
1,19090.0,1273.9936828613281
1,19090.0,1279.593605041504
1,19090.0,1285.1935272216797
1,19090.0,1290.7934494018555
1,19090.0,1296.3933715820312
1,19806.0,1301.993293762207
1,19752.0,1306.7932357788086
1,19725.0,1311.593162536621
1,20198.0,1315.9930953979492
1,20198.0,1319.7930374145508
1,20148.0,1323.5929794311523
1,20507.0,1326.9929275512695
1,20507.0,1329.592887878418
1,20505.0,1332.1928482055664
1,20503.0,1334.7928085327148
1,20503.0,1337.3927688598633
1,20503.0,1339.9927291870117
1,20503.0,1342.5926895141602
1,20865.0,1345.1926498413086
1,20865.0,1347.1926193237305
1,20865.0,1349.0925979614258
1,20865.0,1350.992576599121
1,20865.0,1352.8925552368164
1,20865.0,1354.7925338745117
1,20865.0,1356.5925216674805
1,20865.0,1358.4925003051758
1,20865.0,1360.29248046875
1,20865.0,1362.2924575805664
1,20865.0,1365.1924209594727
1,20865.0,1368.092384338379
1,20865.0,1370.9923477172852
1,20865.0,1373.8923110961914
1,20865.0,1376.7922744750977
1,20865.0,1379.692237854004
1,20865.0,1382.5922012329102
1,20865.0,1385.4921646118164
1,20865.0,1388.292137145996
1,20865.0,1392.0920791625977
1,20865.0,1395.8920211791992
1,20865.0,1399.6919631958008
1,20865.0,1403.4919052124023
1,20846.0,1407.1918487548828
1,21360.0,1411.5917892456055
1,21360.0,1414.9917449951172
1,21359.0,1418.1917037963867
1,21359.0,1421.591651916504
1,21358.0,1424.991600036621
1,21358.0,1428.3915481567383
1,21357.0,1431.691505432129
1,21357.0,1434.1914672851562
1,21356.0,1436.6914443969727
1,21356.0,1440.0914001464844
1,21356.0,1443.3913650512695
1,21356.0,1447.3913116455078
1,21483.0,1451.2912673950195
1,21483.0,1455.0912170410156
1,21481.0,1458.8911666870117
1,21481.0,1462.4911193847656
1,21480.0,1466.1910781860352
1,21479.0,1469.8910369873047
1,21479.0,1473.5909881591797
1,21479.0,1477.2909393310547
1,21479.0,1480.9908905029297
1,21479.0,1484.6908416748047
1,21458.0,1488.3907928466797
1,21456.0,1491.8907470703125
1,22431.0,1495.3907012939453
1,22430.0,1498.4906616210938
1,22430.0,1501.5906219482422
1,22430.0,1504.6905822753906
1,22925.0,1507.6905517578125
1,22900.0,1511.0904998779297
1,22876.0,1514.2904510498047
1,23352.0,1517.0904083251953
1,23352.0,1519.890365600586
1,23351.0,1522.6903228759766
1,23351.0,1525.4902801513672
1,23351.0,1528.2902374267578
1,23351.0,1530.9902038574219
1,23351.0,1533.690170288086
1,23351.0,1537.2901153564453
1,23351.0,1540.8900604248047
1,23351.0,1544.490005493164
1,23351.0,1548.0899505615234
1,23351.0,1551.5899047851562
1,23351.0,1555.089859008789
1,23351.0,1558.5898132324219
1,23351.0,1561.9897766113281
1,23351.0,1565.3897399902344
3,0.0,1.9000000283122063
3,0.0,3.8000000566244125
3,0.0,6.900000095367432
3,635.0,9.900000095367432
3,633.0,12.000000476837158
3,633.0,14.80000102519989
3,628.0,17.60000169277191
3,1513.0,20.10000228881836
3,1513.0,23.700002670288086
3,1508.0,27.30000352859497
3,1508.0,30.900004386901855
3,1490.0,34.500004529953
3,2274.0,38.000003814697266
3,2268.0,40.600003242492676
3,2265.0,43.10000157356262
3,2264.0,46.200000047683716
3,2264.0,49.79999780654907
3,2263.0,53.39999556541443
3,3143.0,56.999993324279785
3,4118.0,59.59999084472656
3,4116.0,61.59998893737793
3,4116.0,63.5999870300293
3,4116.0,65.39998531341553
3,4116.0,68.1999831199646
3,4116.0,70.99998092651367
3,4116.0,73.69997882843018
3,4116.0,77.09997606277466
3,4116.0,80.39997339248657
3,4116.0,83.69997072219849
3,4104.0,87.1999683380127
3,4536.0,90.69996547698975
3,4536.0,94.09996223449707
3,4525.0,97.4999589920044
3,4671.0,100.29995632171631
3,4670.0,103.19995403289795
3,4670.0,106.59995079040527
3,4670.0,109.9999475479126
3,4670.0,113.29994487762451
3,4660.0,116.59994220733643
3,5319.0,119.6999397277832
3,5318.0,122.19993782043457
3,5309.0,124.69993591308594
3,5783.0,127.1999340057373
3,5783.0,129.09993267059326
3,5783.0,130.99993133544922
3,5783.0,132.79993057250977
3,5783.0,134.5999298095703
3,5783.0,136.89993000030518
3,5783.0,139.0999298095703
3,5783.0,142.29992866516113
3,5783.0,145.49992847442627
3,5783.0,148.59993076324463
3,5783.0,152.49993419647217
3,5783.0,156.69993686676025
3,5783.0,160.89994049072266
3,5783.0,165.099946975708
3,5783.0,169.29995346069336
3,5783.0,173.39996147155762
3,5783.0,178.199969291687
3,5767.0,182.9999771118164
3,6510.0,187.6999864578247
3,6483.0,191.899995803833
3,6483.0,196.1000051498413
3,6713.0,199.20001316070557
3,6713.0,202.3000202178955
3,6713.0,205.40002822875977
3,6713.0,208.50003623962402
3,6713.0,211.60004425048828
3,6713.0,214.70005226135254
3,6713.0,217.8000602722168
3,6713.0,220.90006828308105
3,6694.0,224.0000762939453
3,6694.0,227.10008430480957
3,6724.0,230.00009155273438
3,6709.0,232.5000991821289
3,7620.0,235.00010681152344
3,7619.0,236.90011405944824
3,7618.0,238.70012092590332
3,7618.0,241.50012969970703
3,7618.0,244.70013999938965
3,7618.0,247.90015029907227
3,7618.0,251.10016059875488
3,7618.0,254.10017013549805
3,7618.0,257.0001792907715
3,7618.0,261.0001907348633
3,7618.0,265.1002025604248
3,7618.0,269.2002143859863
3,7618.0,273.30022621154785
3,7618.0,277.4002380371094
3,7618.0,281.5002498626709
3,7618.0,285.6002616882324
3,7618.0,289.7002716064453
3,7585.0,293.80028533935547
3,7585.0,298.50029945373535
3,7967.0,301.20030784606934
3,7967.0,304.8003177642822
3,7967.0,308.60032844543457
3,7967.0,312.3003387451172
3,7967.0,316.70035552978516
3,8080.0,321.1003723144531
3,8061.0,324.5003852844238
3,8061.0,327.90039825439453
3,8061.0,331.30041122436523
3,8061.0,334.70042419433594
3,8061.0,338.100435256958
3,8061.0,341.5004482269287
3,8061.0,344.9004592895508
3,8061.0,349.0004711151123
3,8032.0,354.00048828125
3,8032.0,359.0005054473877
3,8791.0,364.0005226135254
3,8775.0,368.2005386352539
