"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","u_assist_bias","u_pursue_bias","penalty_for_waiting","max_sensor_range","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,100,50,0,1.0,109141682,0,0,100,0,250,0,100,0.1,25,75,100
3,10,100,50,0,1.0,109144399,0,0,100,8,250,0,100,0.1,25,75,100
5,10,100,50,0,1.0,109146926,0,0,100,16,250,0,100,0.1,25,75,100
7,10,100,50,0,1.0,109149583,0,0,100,24,250,0,100,0.1,25,75,100
9,10,100,50,0,1.0,109152644,0,0,100,32,250,0,100,0.1,25,75,100
2,10,100,50,0,1.0,109141572,0,0,100,4,250,0,100,0.1,25,75,100
4,10,100,50,0,1.0,109144508,0,0,100,12,250,0,100,0.1,25,75,100
6,10,100,50,0,1.0,109147304,0,0,100,20,250,0,100,0.1,25,75,100
8,10,100,50,0,1.0,109150208,0,0,100,28,250,0,100,0.1,25,75,100
10,10,100,50,0,1.0,109153752,0,0,100,36,250,0,100,0.1,25,75,100
