"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,0,50,0,1.0,110727972,15,0,0,100,250,0,100,0.1,25,75,100
3,10,20,50,0,1.0,110731235,15,0,0,100,250,0,100,0.1,25,75,100
5,10,40,50,0,1.0,110734737,15,0,0,100,250,0,100,0.1,25,75,100
7,10,60,50,0,1.0,110737517,15,0,0,100,250,0,100,0.1,25,75,100
9,10,80,50,0,1.0,110740106,15,0,0,100,250,0,100,0.1,25,75,100
11,10,100,50,0,1.0,110742771,15,0,0,100,250,0,100,0.1,25,75,100
13,10,120,50,0,1.0,110745195,15,0,0,100,250,0,100,0.1,25,75,100
15,10,140,50,0,1.0,110747764,15,0,0,100,250,0,100,0.1,25,75,100
17,10,160,50,0,1.0,110750438,15,0,0,100,250,0,100,0.1,25,75,100
19,10,180,50,0,1.0,110753104,15,0,0,100,250,0,100,0.1,25,75,100
21,10,200,50,0,1.0,110755687,15,0,0,100,250,0,100,0.1,25,75,100
23,10,220,50,0,1.0,110758333,15,0,0,100,250,0,100,0.1,25,75,100
25,10,240,50,0,1.0,110760925,15,0,0,100,250,0,100,0.1,25,75,100
27,10,260,50,0,1.0,110763704,15,0,0,100,250,0,100,0.1,25,75,100
29,10,280,50,0,1.0,110766757,15,0,0,100,250,0,100,0.1,25,75,100
31,10,300,50,0,1.0,110769368,15,0,0,100,250,0,100,0.1,25,75,100
33,10,320,50,0,1.0,110771994,15,0,0,100,250,0,100,0.1,25,75,100
35,10,340,50,0,1.0,110774648,15,0,0,100,250,0,100,0.1,25,75,100
37,10,360,50,0,1.0,110777429,15,0,0,100,250,0,100,0.1,25,75,100
39,10,380,50,0,1.0,110779998,15,0,0,100,250,0,100,0.1,25,75,100
41,10,400,50,0,1.0,110782627,15,0,0,100,250,0,100,0.1,25,75,100
43,10,420,50,0,1.0,110785288,15,0,0,100,250,0,100,0.1,25,75,100
45,10,440,50,0,1.0,110788065,15,0,0,100,250,0,100,0.1,25,75,100
47,10,460,50,0,1.0,110790871,15,0,0,100,250,0,100,0.1,25,75,100
49,10,480,50,0,1.0,110793636,15,0,0,100,250,0,100,0.1,25,75,100
51,10,500,50,0,1.0,110796111,15,0,0,100,250,0,100,0.1,25,75,100
2,10,10,50,0,1.0,110727977,15,0,0,100,250,0,100,0.1,25,75,100
4,10,30,50,0,1.0,110731101,15,0,0,100,250,0,100,0.1,25,75,100
6,10,50,50,0,1.0,110734574,15,0,0,100,250,0,100,0.1,25,75,100
8,10,70,50,0,1.0,110737309,15,0,0,100,250,0,100,0.1,25,75,100
10,10,90,50,0,1.0,110739750,15,0,0,100,250,0,100,0.1,25,75,100
12,10,110,50,0,1.0,110742392,15,0,0,100,250,0,100,0.1,25,75,100
14,10,130,50,0,1.0,110744861,15,0,0,100,250,0,100,0.1,25,75,100
16,10,150,50,0,1.0,110747332,15,0,0,100,250,0,100,0.1,25,75,100
18,10,170,50,0,1.0,110750049,15,0,0,100,250,0,100,0.1,25,75,100
20,10,190,50,0,1.0,110752738,15,0,0,100,250,0,100,0.1,25,75,100
22,10,210,50,0,1.0,110755448,15,0,0,100,250,0,100,0.1,25,75,100
24,10,230,50,0,1.0,110757989,15,0,0,100,250,0,100,0.1,25,75,100
26,10,250,50,0,1.0,110760616,15,0,0,100,250,0,100,0.1,25,75,100
28,10,270,50,0,1.0,110763249,15,0,0,100,250,0,100,0.1,25,75,100
30,10,290,50,0,1.0,110766268,15,0,0,100,250,0,100,0.1,25,75,100
32,10,310,50,0,1.0,110768905,15,0,0,100,250,0,100,0.1,25,75,100
34,10,330,50,0,1.0,110771451,15,0,0,100,250,0,100,0.1,25,75,100
36,10,350,50,0,1.0,110774059,15,0,0,100,250,0,100,0.1,25,75,100
38,10,370,50,0,1.0,110776780,15,0,0,100,250,0,100,0.1,25,75,100
40,10,390,50,0,1.0,110779060,15,0,0,100,250,0,100,0.1,25,75,100
42,10,410,50,0,1.0,110781791,15,0,0,100,250,0,100,0.1,25,75,100
44,10,430,50,0,1.0,110784397,15,0,0,100,250,0,100,0.1,25,75,100
46,10,450,50,0,1.0,110787067,15,0,0,100,250,0,100,0.1,25,75,100
48,10,470,50,0,1.0,110789916,15,0,0,100,250,0,100,0.1,25,75,100
50,10,490,50,0,1.0,110792615,15,0,0,100,250,0,100,0.1,25,75,100
