"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,0,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
3,4,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
5,8,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
7,12,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
9,16,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
11,20,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
13,24,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
15,28,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
17,32,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
19,36,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
21,40,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
2,2,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
4,6,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
6,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
8,14,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
10,18,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
12,22,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
14,26,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
16,30,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
18,34,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
20,38,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
