"run","robot_count","hq_proximity_bonus","field_size","u_wait_bias","resource_weight","randomSeed","max_sensor_range","u_assist_bias","u_pursue_bias","penalty_for_waiting","u_carry_bias","resource_proximity_bonus","full_tank_utility","Fuel Depletion Rate","max_communication_range","resource_count","max_fuel_capacity"
1,10,-2000,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
3,10,-1800,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
5,10,-1600,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
7,10,-1400,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
9,10,-1200,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
11,10,-1000,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
13,10,-800,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
15,10,-600,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
17,10,-400,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
19,10,-200,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
21,10,0,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
23,10,200,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
25,10,400,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
27,10,600,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
29,10,800,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
31,10,1000,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
33,10,1200,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
35,10,1400,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
37,10,1600,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
39,10,1800,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
41,10,2000,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
2,10,-1900,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
4,10,-1700,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
6,10,-1500,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
8,10,-1300,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
10,10,-1100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
12,10,-900,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
14,10,-700,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
16,10,-500,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
18,10,-300,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
20,10,-100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
22,10,100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
24,10,300,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
26,10,500,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
28,10,700,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
30,10,900,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
32,10,1100,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
34,10,1300,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
36,10,1500,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
38,10,1700,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
40,10,1900,100,0,1.0,111646204,30,0,0,100,250,0,100,0.1,50,300,100
