"stored","consumed","remaining"
0.0,20.0,35946.0
0.0,40.0,35946.0
0.0,63.0,35946.0
0.0,93.0,35946.0
0.0,120.0,35946.0
979.0,156.0,34967.0
849.0,186.0,34967.0
1077.0,216.0,34717.0
1077.0,236.0,34717.0
1071.0,256.0,34717.0
1059.0,273.0,34717.0
1057.0,303.0,34717.0
1057.0,332.0,34717.0
1057.0,361.0,34717.0
1057.0,387.0,34717.0
1057.0,421.0,34717.0
1057.0,454.0,34717.0
959.0,496.0,34717.0
959.0,538.0,34717.0
1588.0,568.0,34001.0
1483.0,594.0,33978.0
1477.0,622.0,33978.0
1475.0,650.0,33978.0
1475.0,678.0,33978.0
1473.0,705.0,33978.0
1943.0,732.0,33402.0
1943.0,751.0,33402.0
1939.0,770.0,33402.0
1933.0,791.0,33402.0
1933.0,825.0,33402.0
1933.0,859.0,33402.0
1933.0,893.0,33402.0
1933.0,926.0,33402.0
1933.0,966.0,33402.0
2141.0,1006.0,33194.0
2141.0,1031.0,33194.0
2141.0,1063.0,33194.0
1935.0,1095.0,33194.0
1927.0,1127.0,33194.0
1850.0,1159.0,33194.0
2568.0,1189.0,32476.0
2560.0,1215.0,32476.0
2386.0,1239.0,32476.0
2828.0,1273.0,32026.0
2822.0,1300.0,32026.0
2822.0,1327.0,32026.0
2822.0,1363.0,32026.0
2822.0,1398.0,32026.0
2822.0,1425.0,32026.0
2822.0,1454.0,32026.0
2822.0,1484.0,32026.0
2822.0,1515.0,32026.0
2822.0,1546.0,32026.0
2822.0,1577.0,32026.0
2701.0,1608.0,32026.0
3331.0,1627.0,31334.0
3323.0,1646.0,31334.0
3319.0,1665.0,31334.0
3218.0,1684.0,31334.0
3218.0,1703.0,31334.0
3218.0,1722.0,31334.0
3121.0,1741.0,31334.0
3121.0,1764.0,31334.0
3121.0,1798.0,31334.0
3121.0,1832.0,31334.0
3121.0,1866.0,31334.0
3121.0,1894.0,31334.0
2946.0,1926.0,31334.0
2946.0,1958.0,31334.0
2860.0,1990.0,31334.0
3765.0,2022.0,30389.0
3753.0,2041.0,30389.0
3741.0,2060.0,30389.0
3733.0,2078.0,30389.0
3725.0,2096.0,30389.0
3725.0,2114.0,30389.0
3725.0,2132.0,30389.0
3725.0,2150.0,30389.0
3725.0,2168.0,30389.0
3725.0,2186.0,30389.0
3725.0,2204.0,30389.0
3725.0,2221.0,30389.0
3725.0,2249.0,30389.0
3725.0,2279.0,30389.0
3725.0,2307.0,30389.0
3725.0,2335.0,30389.0
3725.0,2363.0,30389.0
3725.0,2391.0,30389.0
3633.0,2410.0,30389.0
3542.0,2438.0,30389.0
3450.0,2466.0,30389.0
3450.0,2493.0,30389.0
3450.0,2519.0,30389.0
3450.0,2546.0,30389.0
3450.0,2573.0,30389.0
3450.0,2601.0,30389.0
3450.0,2628.0,30389.0
3345.0,2654.0,30389.0
3964.0,2678.0,29758.0
3891.0,2700.0,29758.0
3889.0,2728.0,29758.0
3881.0,2747.0,29758.0
3879.0,2764.0,29758.0
3781.0,2781.0,29758.0
3781.0,2806.0,29758.0
3781.0,2842.0,29758.0
3729.0,2878.0,29758.0
3460.0,2904.0,29758.0
4006.0,2928.0,29212.0
3976.0,2946.0,29212.0
3976.0,2964.0,29212.0
3976.0,2982.0,29212.0
3976.0,3000.0,29212.0
3976.0,3017.0,29212.0
