"stored","consumed","remaining"
0.0,1.9000000283122063,39190.0
228.0,4.400000125169754,38953.0
221.0,6.200000166893005,38953.0
221.0,8.100000143051147,38953.0
214.0,10.500000178813934,38953.0
207.0,13.500000715255737,38953.0
345.0,15.500001192092896,38806.0
345.0,17.400001645088196,38806.0
342.0,19.000002026557922,38806.0
337.0,21.900002479553223,38806.0
332.0,24.300002813339233,38806.0
329.0,27.30000329017639,38806.0
329.0,29.700003623962402,38806.0
1237.0,31.70000386238098,37895.0
1237.0,33.70000410079956,37895.0
1237.0,35.30000376701355,37895.0
1237.0,38.2000036239624,37895.0
1237.0,42.40000319480896,37895.0
1237.0,46.600000858306885,37895.0
1237.0,50.79999780654907,37895.0
1237.0,53.39999580383301,37895.0
1227.0,55.99999380111694,37895.0
1226.0,57.799992084503174,37895.0
1226.0,59.499990940093994,37895.0
1226.0,62.79998826980591,37895.0
1226.0,66.29998540878296,37895.0
1222.0,70.49998235702515,37895.0
1485.0,73.89997959136963,37618.0
1476.0,77.29997730255127,37618.0
1723.0,81.69997310638428,37371.0
1705.0,84.1999716758728,37371.0
1755.0,86.09997034072876,37320.0
1755.0,87.89996910095215,37320.0
1755.0,89.6999683380127,37320.0
1755.0,91.49996709823608,37320.0
1755.0,94.4999647140503,37320.0
1755.0,97.89996147155762,37320.0
1755.0,101.29995822906494,37320.0
1755.0,104.69995498657227,37320.0
1747.0,108.09995174407959,37320.0
2333.0,111.49994850158691,36709.0
2331.0,113.39994716644287,36709.0
2331.0,115.89994621276855,36709.0
2331.0,118.69994354248047,36709.0
2331.0,121.89994049072266,36709.0
2331.0,125.09993743896484,36709.0
2331.0,128.29993438720703,36709.0
2331.0,131.3999319076538,36709.0
2331.0,134.4999303817749,36709.0
2331.0,137.59993171691895,36709.0
2331.0,140.699933052063,36709.0
2331.0,144.39993476867676,36709.0
2324.0,148.19993591308594,36709.0
2298.0,152.3999376296997,36709.0
2298.0,156.59993934631348,36709.0
3272.0,160.79994201660156,35731.0
3268.0,163.7999448776245,35731.0
3268.0,166.79994773864746,35731.0
3268.0,169.7999505996704,35731.0
3268.0,172.69995403289795,35731.0
3268.0,176.2999610900879,35731.0
3256.0,179.89996814727783,35731.0
3897.0,183.09997367858887,35078.0
3894.0,185.6999797821045,35078.0
3891.0,188.1999855041504,35078.0
3891.0,190.59999084472656,35078.0
3891.0,192.899995803833,35078.0
3891.0,196.40000343322754,35078.0
3891.0,198.90000915527344,35078.0
3891.0,201.8000144958496,35078.0
3891.0,205.30002403259277,35078.0
3891.0,210.10003662109375,35078.0
3891.0,214.90004920959473,35078.0
3875.0,219.7000617980957,35078.0
4298.0,224.50007438659668,34654.0
4298.0,228.70008659362793,34654.0
5248.0,232.90009880065918,33661.0
5248.0,235.90010833740234,33661.0
5284.0,238.80011749267578,33618.0
5276.0,241.40012550354004,33618.0
5273.0,244.0001335144043,33618.0
5270.0,246.60014152526855,33618.0
5270.0,249.1001491546631,33618.0
5267.0,251.0001564025879,33618.0
5267.0,252.9001636505127,33618.0
5264.0,254.8001708984375,33618.0
5263.0,256.7001781463623,33618.0
5263.0,258.6001853942871,33618.0
5263.0,260.5001926422119,33618.0
5263.0,262.4001998901367,33618.0
5263.0,264.3002071380615,33618.0
5263.0,266.2002143859863,33618.0
5263.0,268.10022163391113,33618.0
5263.0,270.00022888183594,33618.0
5263.0,271.90023612976074,33618.0
5263.0,273.6002426147461,33618.0
5263.0,276.2002487182617,33618.0
5263.0,278.300256729126,33618.0
5263.0,280.10026359558105,33618.0
5263.0,282.80027198791504,33618.0
5263.0,285.8002815246582,33618.0
5263.0,289.0002918243408,33618.0
5263.0,292.1002998352051,33618.0
5263.0,295.8003120422363,33618.0
5263.0,297.8003177642822,33618.0
5263.0,300.4003276824951,33618.0
5263.0,303.3003349304199,33618.0
5263.0,307.70034980773926,33618.0
5263.0,311.40035820007324,33618.0
5263.0,315.4003715515137,33618.0
5263.0,319.40038299560547,33618.0
5263.0,323.4003963470459,33618.0
5263.0,327.4004096984863,33618.0
5263.0,331.40042304992676,33618.0
5263.0,335.20043563842773,33618.0
5263.0,340.20045471191406,33618.0
6159.0,345.2004737854004,32667.0
6159.0,347.7004814147949,32667.0
6159.0,349.6004867553711,32667.0
6159.0,351.50049209594727,32667.0
6159.0,353.40049743652344,32667.0
6159.0,355.8005027770996,32667.0
6159.0,357.4005069732666,32667.0
6159.0,359.7005157470703,32667.0
6159.0,361.6005229949951,32667.0
6159.0,364.30052947998047,32667.0
6159.0,367.4005374908447,32667.0
6159.0,371.20055198669434,32667.0
6159.0,375.00056648254395,32667.0
6159.0,378.7005786895752,32667.0
6159.0,383.10059547424316,32667.0
6155.0,387.50061225891113,32667.0
6800.0,391.90062713623047,32021.0
6800.0,395.5006408691406,32021.0
6800.0,399.0006523132324,32021.0
6800.0,403.20066833496094,32021.0
6800.0,407.40068435668945,32021.0
6800.0,411.60070037841797,32021.0
6800.0,415.8007164001465,32021.0
6800.0,419.90073013305664,32021.0
6800.0,421.8007354736328,32021.0
6800.0,423.700740814209,32021.0
6800.0,425.4007453918457,32021.0
6800.0,427.1007499694824,32021.0
6800.0,430.1007614135742,32021.0
6800.0,433.100772857666,32021.0
6800.0,436.1007843017578,32021.0
6800.0,439.2007942199707,32021.0
6800.0,443.0008087158203,32021.0
6800.0,446.70082092285156,32021.0
6800.0,449.50082778930664,32021.0
6800.0,453.70084381103516,32021.0
6800.0,458.00085830688477,32021.0
6800.0,463.0008773803711,32021.0
6800.0,468.0008964538574,32021.0
